	GHOST	GHOST
W/l,nm	predicted	budgeted
360	0.129047893	0.091445985
370	0.170879628	0.123805699
380	0.222567572	0.165760728
390	0.282582741	0.228058127
400	0.320849845	0.2730475
410	0.344196649	0.301796729
420	0.357032147	0.316963891
430	0.359293675	0.325158595
440	0.35229708	0.318826754
450	0.376622042	0.340840337
460	0.352274927	0.318806411
470	0.360938065	0.326646323
480	0.363928849	0.329353405
490	0.369640922	0.334522555
500	0.367620331	0.33269414
510	0.365253943	0.330552538
520	0.356637617	0.32275524
530	0.352461862	0.31897557
540	0.301306831	0.272681411
550	0.311153722	0.281592393
560	0.320480976	0.29003321
570	0.33033001	0.298947034
580	0.340334709	0.308001006
590	0.352991397	0.319455048
600	0.364643612	0.330000414
610	0.375147874	0.339506187
620	0.383397364	0.346971923
630	0.391959567	0.354720849
640	0.399670341	0.361698712
650	0.404875615	0.366410129
660	0.410137233	0.37117156
670	0.412286107	0.373116466
680	0.414010668	0.374676843
690	0.416162911	0.376625443
700	0.414795388	0.375387047
710	0.418655078	0.378880725
720	0.419557706	0.37969699
730	0.419100921	0.37928387
740	0.412033755	0.372887482
750	0.407386513	0.368682403
760	0.400395178	0.362354985
770	0.395816158	0.358211342
780	0.393258132	0.355896309
790	0.383102152	0.346705555
800	0.380786665	0.344609438
810	0.369274414	0.334190923
820	0.361515586	0.327169427
830	0.350954886	0.317612177
840	0.338058858	0.305941039
850	0.322193193	0.291582672
860	0.305997538	0.276925667
870	0.294123609	0.266179634
880	0.278453894	0.251998996
890	0.257023379	0.232604593
900	0.226112825	0.204630339
910	0.20432914	0.184916517
920	0.18226152	0.164945657
930	0.160269219	0.145042564
940	0.138720447	0.125541376
950	0.117981885	0.106772356
960	0.098389986	0.0890426
970	0.080252821	0.072628262
980	0.063825483	0.057761269
990	0.049297389	0.044614224
1000	0.036797343	0.033301168
