	GHOST	GHOST
W/l,nm  predicted	budgeted   
360	0.129047893	0.104071619
370	0.170879628	0.139518477
380	0.222567572	0.186735838
390	0.282582741	0.25884182 
400	0.320849845	0.309443374
410	0.344196649	0.336394565
420	0.357032147	0.353157259
430	0.359293675	0.361658612
440	0.35229708 	0.350356976
450	0.376622042	0.370534073
460	0.352274927	0.343577396
470	0.360938065	0.348115443
480	0.363928849	0.350784443
490	0.369640922	0.357023034
500	0.367620331	0.357089636
510	0.365253943	0.353963115
520	0.356637617	0.347690704
530	0.352461862	0.350238266
540	0.301306831	0.300902141
550	0.311153722	0.310666679
560	0.320480976	0.31996927 
570	0.33033001 	0.330282373
580	0.340334709	0.341411549
590	0.352991397	0.35297226 
600	0.364643612	0.364572384
610	0.375147874	0.375475888
620	0.383397364	0.383678427
630	0.391959567	0.392527366
640	0.399670341	0.398261356
650	0.404875615	0.404563835
660	0.410137233	0.407531298
670	0.412286107	0.408723337
680	0.414010668	0.409088917
690	0.416162911	0.409233005
700	0.414795388	0.409535701
710	0.418655078	0.415548997
720	0.419557706	0.4181747  
730	0.419100921	0.4201608  
740	0.412033755	0.420690667
750	0.407386513	0.418954335
760	0.400395178	0.414327629
770	0.395816158	0.407133909
780	0.393258132	0.397986685
790	0.383102152	0.387451545
800	0.380786665	0.376113265
810	0.369274414	0.364351635
820	0.361515586	0.352137939
830	0.350954886	0.339251068
840	0.338058858	0.325515537
850	0.322193193	0.310744362
860	0.305997538	0.294816548
870	0.294123609	0.277759927
880	0.278453894	0.259656638
890	0.257023379	0.240598059
900	0.226112825	0.215186152
910	0.20432914 	0.192072334
920	0.18226152 	0.172002219
930	0.160269219	0.151998723
940	0.138720447	0.132427535
950	0.117981885	0.113640893
960	0.098389986	0.095898428
970	0.080252821	0.07922803 
980	0.063825483	0.063608471
990	0.049297389	0.049017917
1000	0.0367973430	0.035449387
